FIPSCode,LocationType,Location,TypeofFacility,TimeFrame,DataFormat,Data
06,State,California,Child Care Center,2000,Number,"576,929"
06,State,California,Family Child Care Home,2000,Number,"309,942"
06,State,California,Total for Both Facility Types,2000,Number,"886,871"
06,State,California,Child Care Center,2002,Number,"613,385"
06,State,California,Family Child Care Home,2002,Number,"345,285"
06,State,California,Total for Both Facility Types,2002,Number,"958,670"
06,State,California,Child Care Center,2004,Number,"639,443"
06,State,California,Family Child Care Home,2004,Number,"362,957"
06,State,California,Total for Both Facility Types,2004,Number,"1,002,400"
06,State,California,Child Care Center,2006,Number,"692,024"
06,State,California,Family Child Care Home,2006,Number,"371,169"
06,State,California,Total for Both Facility Types,2006,Number,"1,063,193"
06,State,California,Child Care Center,2008,Number,"700,584"
06,State,California,Family Child Care Home,2008,Number,"382,768"
06,State,California,Total for Both Facility Types,2008,Number,"1,083,352"
06,State,California,Child Care Center,2010,Number,"710,642"
06,State,California,Family Child Care Home,2010,Number,"367,264"
06,State,California,Total for Both Facility Types,2010,Number,"1,077,906"
06,State,California,Child Care Center,2012,Number,"716,610"
06,State,California,Family Child Care Home,2012,Number,"335,719"
06,State,California,Total for Both Facility Types,2012,Number,"1,052,329"
06,State,California,Child Care Center,2014,Number,"721,868"
06,State,California,Family Child Care Home,2014,Number,"312,277"
06,State,California,Total for Both Facility Types,2014,Number,"1,034,145"
06,State,California,Child Care Center,2017,Number,"708,929"
06,State,California,Family Child Care Home,2017,Number,"283,496"
06,State,California,Total for Both Facility Types,2017,Number,"992,425"
06,State,California,Child Care Center,2019,Number,"705,734"
06,State,California,Family Child Care Home,2019,Number,"271,101"
06,State,California,Total for Both Facility Types,2019,Number,"976,835"
06081,County,San Mateo County,Child Care Center,2017,Number,"17,044"
06081,County,San Mateo County,Family Child Care Home,2017,Number,"5,582"
06081,County,San Mateo County,Total for Both Facility Types,2017,Number,"22,626"
06081,County,San Mateo County,Child Care Center,2019,Number,"17,024"
06081,County,San Mateo County,Family Child Care Home,2019,Number,"5,308"
06081,County,San Mateo County,Total for Both Facility Types,2019,Number,"22,332"
06081,County,San Mateo County,Child Care Center,2014,Number,"16,549"
06081,County,San Mateo County,Family Child Care Home,2014,Number,"6,148"
06081,County,San Mateo County,Total for Both Facility Types,2014,Number,"22,697"
06081,County,San Mateo County,Child Care Center,2012,Number,"17,463"
06081,County,San Mateo County,Family Child Care Home,2012,Number,"6,582"
06081,County,San Mateo County,Total for Both Facility Types,2012,Number,"24,045"
06081,County,San Mateo County,Child Care Center,2010,Number,"16,431"
06081,County,San Mateo County,Family Child Care Home,2010,Number,"6,904"
06081,County,San Mateo County,Total for Both Facility Types,2010,Number,"23,335"
06081,County,San Mateo County,Child Care Center,2008,Number,"16,264"
06081,County,San Mateo County,Family Child Care Home,2008,Number,"6,446"
06081,County,San Mateo County,Total for Both Facility Types,2008,Number,"22,710"
06081,County,San Mateo County,Child Care Center,2006,Number,"16,931"
06081,County,San Mateo County,Family Child Care Home,2006,Number,"6,742"
06081,County,San Mateo County,Total for Both Facility Types,2006,Number,"23,673"
06081,County,San Mateo County,Child Care Center,2004,Number,"16,292"
06081,County,San Mateo County,Family Child Care Home,2004,Number,"6,110"
06081,County,San Mateo County,Total for Both Facility Types,2004,Number,"22,402"
06081,County,San Mateo County,Child Care Center,2002,Number,"15,489"
06081,County,San Mateo County,Family Child Care Home,2002,Number,"6,464"
06081,County,San Mateo County,Total for Both Facility Types,2002,Number,"21,953"
06081,County,San Mateo County,Child Care Center,2000,Number,"15,182"
06081,County,San Mateo County,Family Child Care Home,2000,Number,"7,280"
06081,County,San Mateo County,Total for Both Facility Types,2000,Number,"22,462"
06085,County,Santa Clara County,Child Care Center,2000,Number,"36,070"
06085,County,Santa Clara County,Family Child Care Home,2000,Number,"14,513"
06085,County,Santa Clara County,Total for Both Facility Types,2000,Number,"50,583"
06085,County,Santa Clara County,Child Care Center,2002,Number,"35,949"
06085,County,Santa Clara County,Family Child Care Home,2002,Number,"13,176"
06085,County,Santa Clara County,Total for Both Facility Types,2002,Number,"49,125"
06085,County,Santa Clara County,Child Care Center,2004,Number,"36,755"
06085,County,Santa Clara County,Family Child Care Home,2004,Number,"13,804"
06085,County,Santa Clara County,Total for Both Facility Types,2004,Number,"50,559"
06085,County,Santa Clara County,Child Care Center,2006,Number,"37,449"
06085,County,Santa Clara County,Family Child Care Home,2006,Number,"13,102"
06085,County,Santa Clara County,Total for Both Facility Types,2006,Number,"50,551"
06085,County,Santa Clara County,Child Care Center,2008,Number,"42,061"
06085,County,Santa Clara County,Family Child Care Home,2008,Number,"16,756"
06085,County,Santa Clara County,Total for Both Facility Types,2008,Number,"58,817"
06085,County,Santa Clara County,Child Care Center,2010,Number,"42,993"
06085,County,Santa Clara County,Family Child Care Home,2010,Number,"19,702"
06085,County,Santa Clara County,Total for Both Facility Types,2010,Number,"62,695"
06085,County,Santa Clara County,Child Care Center,2012,Number,"45,000"
