FIPSCode,LocationType,Location,AgeGroup,Gender,TimeFrame,DataFormat,Data
0,Nation,United States,Ages 0_2,Female,1995,Number,"5,621,328"
0,Nation,United States,Ages 0_2,Female,1996,Number,"5,558,795"
0,Nation,United States,Ages 0_2,Female,1997,Number,"5,527,927"
0,Nation,United States,Ages 0_2,Female,1998,Number,"5,520,789"
0,Nation,United States,Ages 0_2,Female,1999,Number,"5,550,658"
0,Nation,United States,Ages 0_2,Female,2000,Number,"5,593,934"
0,Nation,United States,Ages 0_2,Female,2001,Number,"5,702,687"
0,Nation,United States,Ages 0_2,Female,2002,Number,"5,776,324"
0,Nation,United States,Ages 0_2,Female,2003,Number,"5,828,664"
0,Nation,United States,Ages 0_2,Female,2004,Number,"5,820,434"
0,Nation,United States,Ages 0_2,Female,2005,Number,"5,839,513"
0,Nation,United States,Ages 0_2,Female,2006,Number,"5,868,880"
0,Nation,United States,Ages 0_2,Female,2007,Number,"5,927,586"
0,Nation,United States,Ages 0_2,Female,2008,Number,"5,986,369"
0,Nation,United States,Ages 0_2,Female,2009,Number,"5,962,358"
0,Nation,United States,Ages 0_2,Female,2010,Number,"5,872,720"
0,Nation,United States,Ages 0_2,Female,2011,Number,"5,820,622"
0,Nation,United States,Ages 0_2,Female,2012,Number,"5,809,729"
0,Nation,United States,Ages 0_2,Female,2013,Number,"5,799,041"
0,Nation,United States,Ages 0_2,Female,2014,Number,"5,796,693"
0,Nation,United States,Ages 0_2,Female,2015,Number,"5,825,751"
0,Nation,United States,Ages 0_2,Female,2016,Number,"5,842,691"
0,Nation,United States,Ages 0_2,Female,2017,Number,"5,808,611"
0,Nation,United States,Ages 0_2,Female,2018,Number,"5,729,873"
0,Nation,United States,Ages 0_2,Female,2019,Number,"5,631,942"
0,Nation,United States,Ages 0_2,Female,2020,Number,"5,558,579"
0,Nation,United States,Ages 0_2,Female,2021,Number,"5,498,596"
0,Nation,United States,Ages 0_2,Male,1995,Number,"5,898,467"
0,Nation,United States,Ages 0_2,Male,1996,Number,"5,827,180"
0,Nation,United States,Ages 0_2,Male,1997,Number,"5,790,125"
0,Nation,United States,Ages 0_2,Male,1998,Number,"5,783,529"
0,Nation,United States,Ages 0_2,Male,1999,Number,"5,812,800"
0,Nation,United States,Ages 0_2,Male,2000,Number,"5,860,857"
0,Nation,United States,Ages 0_2,Male,2001,Number,"5,965,474"
0,Nation,United States,Ages 0_2,Male,2002,Number,"6,035,925"
0,Nation,United States,Ages 0_2,Male,2003,Number,"6,086,182"
0,Nation,United States,Ages 0_2,Male,2004,Number,"6,080,622"
0,Nation,United States,Ages 0_2,Male,2005,Number,"6,104,544"
0,Nation,United States,Ages 0_2,Male,2006,Number,"6,133,101"
0,Nation,United States,Ages 0_2,Male,2007,Number,"6,196,105"
0,Nation,United States,Ages 0_2,Male,2008,Number,"6,251,268"
0,Nation,United States,Ages 0_2,Male,2009,Number,"6,223,028"
0,Nation,United States,Ages 0_2,Male,2010,Number,"6,127,478"
0,Nation,United States,Ages 0_2,Male,2011,Number,"6,080,908"
0,Nation,United States,Ages 0_2,Male,2012,Number,"6,075,351"
0,Nation,United States,Ages 0_2,Male,2013,Number,"6,068,765"
0,Nation,United States,Ages 0_2,Male,2014,Number,"6,067,854"
0,Nation,United States,Ages 0_2,Male,2015,Number,"6,099,893"
0,Nation,United States,Ages 0_2,Male,2016,Number,"6,116,820"
0,Nation,United States,Ages 0_2,Male,2017,Number,"6,076,951"
0,Nation,United States,Ages 0_2,Male,2018,Number,"5,991,694"
0,Nation,United States,Ages 0_2,Male,2019,Number,"5,884,364"
0,Nation,United States,Ages 0_2,Male,2020,Number,"5,803,340"
0,Nation,United States,Ages 0_2,Male,2021,Number,"5,740,274"
0,Nation,United States,Ages 0_2,Total,1995,Number,"11,519,795"
0,Nation,United States,Ages 0_2,Total,1996,Number,"11,385,975"
0,Nation,United States,Ages 0_2,Total,1997,Number,"11,318,052"
0,Nation,United States,Ages 0_2,Total,1998,Number,"11,304,318"
0,Nation,United States,Ages 0_2,Total,1999,Number,"11,363,458"
0,Nation,United States,Ages 0_2,Total,2000,Number,"11,454,791"
0,Nation,United States,Ages 0_2,Total,2001,Number,"11,668,161"
0,Nation,United States,Ages 0_2,Total,2002,Number,"11,812,249"
0,Nation,United States,Ages 0_2,Total,2003,Number,"11,914,846"
0,Nation,United States,Ages 0_2,Total,2004,Number,"11,901,056"
0,Nation,United States,Ages 0_2,Total,2005,Number,"11,944,057"
0,Nation,United States,Ages 0_2,Total,2006,Number,"12,001,981"
0,Nation,United States,Ages 0_2,Total,2007,Number,"12,123,691"
0,Nation,United States,Ages 0_2,Total,2008,Number,"12,237,637"
0,Nation,United States,Ages 0_2,Total,2009,Number,"12,185,386"
0,Nation,United States,Ages 0_2,Total,2010,Number,"12,000,198"
0,Nation,United States,Ages 0_2,Total,2011,Number,"11,901,530"
0,Nation,United States,Ages 0_2,Total,2012,Number,"11,885,080"
0,Nation,United States,Ages 0_2,Total,2013,Number,"11,867,806"
0,Nation,United States,Ages 0_2,Total,2014,Number,"11,864,547"
0,Nation,United States,Ages 0_2,Total,2015,Number,"11,925,644"
0,Nation,United States,Ages 0_2,Total,2016,Number,"11,959,511"
0,Nation,United States,Ages 0_2,Total,2017,Number,"11,885,562"
0,Nation,United States,Ages 0_2,Total,2018,Number,"11,721,567"
0,Nation,United States,Ages 0_2,Total,2019,Number,"11,516,306"
0,Nation,United States,Ages 0_2,Total,2020,Number,"11,361,919"
0,Nation,United States,Ages 0_2,Total,2021,Number,"11,238,870"
0,Nation,United States,Ages 11_13,Female,1995,Number,"5,605,225"
0,Nation,United States,Ages 11_13,Female,1996,Number,"5,651,622"
